Language-Inhouse,Countofcuny_First_Emplid
,11702
Afrikaans,1
Albanian,6
Amharic,1
Arabic,14
Bengali,49
Burmese,3
Cebuano,1
Chinese,47
Creole,17
Dutch-Flemish,1
Dzongkha,1
English,824
Fang-Bulu,1
Farsi,1
French,5
Fulakunda,1
Greek,1
Guarani,1
Gujarati,1
Hindi,3
Hungarian,1
Igbo,4
Ilocano,1
Italian,1
Japanese,2
Kazakh,2
Korean,13
Latin,1
Malayalam,2
Mandarin,2
Mongolian,1
Nepali,19
Pashtu,2
Persian,2
Pilipino,3
Polish,8
Portuguese,4
Punjabi,5
Romanian,1
Russian,2
Serbo-Croatian,2
Spanish,254
Swahili,1
Tagalog,15
Tajiki,1
Telugu,1
Thai,3
Tibetan,17
Twi-Fante,1
Ukrainian,1
Urdu,5
Uzbek,3
Yoruba,2
Zulu,1
