Num,Language
11169,
6,Afrikaans
7,Akan
33,Albanian
2,Amharic
149,Arabic
4,Armenian
295,Bengali
2,Berber
1,Bulgarian
36,Burmese
1,Cambodian
6,Cebuano
1,Chiga
364,Chinese
78,Creole
1,Czech
3,Dutch-Flemish
6,Dzongkha
1,Edo
4392,English
10,Farsi
1,Fon
61,French
10,Fula
2,Futa Jalon
1,Gaelic
1,Galician
6,Georgian
5,German
21,Greek
7,Gujarati
2,Hausa
3,Hebrew
20,Hindi
3,Hungarian
6,Igbo
16,Indonesian
5,Italian
28,Japanese
1,Javanese
1,Kabyle
1,Kashmiri
1,Kikuyu
91,Korean
2,Lao
4,Latin
1,Lithuanian
3,Macedonian
2,Malayalam
4,Mandarin
2,Mongolian
1,More
258,Nepali
1,Pampangan
5,Pashtu
9,Persian
24,Pilipino
82,Polish
29,Portuguese
29,Punjabi
2,Pushto
1,Quechua
27,Romanian
59,Russian
16,Serbo-Croatian
1,Shona
5,Sinhalese
2,Slovak
1,Slovene
1,Somali
4,Soninke
1,Sotho
1626,Spanish
1,Swahili
2,Swedish
76,Tagalog
4,Tajiki
10,Thai
61,Tibetan
2,Tigrinya
1,Tiv
14,Turkish
1,Turkmen
10,Twi-Fante
16,Ukrainian
53,Urdu
17,Uzbek
9,Vietnamese
7,Wolof
10,Yoruba
