Countofcuny_First_Emplid,Language-Inhouse
10351,
4,Afrikaans
5,Akan
41,Albanian
2,Amharic
163,Arabic
7,Armenian
285,Bengali
4,Berber
5,Bulgarian
39,Burmese
1,Cambodian
1,Catalan
7,Cebuano
1,Chiga
325,Chinese
91,Creole
1,Czech
4,Dutch-Flemish
7,Dzongkha
3,Edo
1,Efik
4823,English
1,Esperanto
1,Estonian
9,Farsi
1,Finnish
1,Fon
65,French
11,Fula
1,Futa Jalon
2,Gaelic
6,Georgian
4,German
30,Greek
2,Guarani
12,Gujarati
2,Hausa
6,Hebrew
24,Hindi
6,Hungarian
6,Igbo
2,Ilocano
12,Indonesian
5,Italian
24,Japanese
2,Javanese
2,Kazakh
98,Korean
1,Kurdish
1,Lao
5,Latin
2,Lithuanian
2,Macedonian
1,Malay
3,Malayalam
4,Malinke-Bambara-Dyula
8,Mandarin
1,Moldavian
1,Mongolian
2,More
255,Nepali
1,Pampangan
1,Panay-Hiligaynon
5,Pashtu
6,Persian
28,Pilipino
73,Polish
37,Portuguese
40,Punjabi
1,Pushto
23,Romanian
62,Russian
18,Serbo-Croatian
2,Sinhalese
2,Slovak
1,Slovene
1,Somali
4,Soninke
1775,Spanish
1,Sundanese
1,Swahili
2,Swedish
1,Sylhetti
114,Tagalog
5,Tajiki
2,Tamil
1,Telugu
12,Thai
88,Tibetan
10,Turkish
1,Turkmen
7,Twi-Fante
18,Ukrainian
48,Urdu
20,Uzbek
10,Vietnamese
10,Wolof
13,Yoruba
