Language-Inhouse,Countofcuny_First_Emplid
,13447
Afrikaans,2
Akan,3
Albanian,11
Amharic,1
Arabic,61
Armenian,1
Bengali,123
Berber,2
Bulgarian,3
Burmese,14
Cebuano,2
Chinese,128
Creole,38
Dutch-Flemish,3
Dzongkha,2
Edo,2
English,1987
Ewe,1
Farsi,3
Fon,1
French,23
Fula,6
Fulakunda,1
Georgian,1
German,2
Greek,8
Guarani,1
Gujarati,2
Hindi,8
Hungarian,1
Igbo,5
Ilocano,1
Indonesian,3
Italian,1
Japanese,10
Kazakh,1
Khmer,1
Korean,30
Latin,3
Lithuanian,1
Malay,1
Malayalam,3
Malinke-Bambara-Dyula,2
Mandarin,2
More,1
Nepali,58
Pampangan,1
Pashtu,4
Persian,2
Pilipino,7
Polish,23
Portuguese,17
Punjabi,15
Pushto,1
Romanian,4
Russian,28
Serbo-Croatian,8
Sinhalese,1
Soninke,1
Spanish,697
Sylhetti,1
Tagalog,33
Tajiki,4
Tamil,1
Telugu,1
Thai,5
Tibetan,39
Turkish,3
Turkmen,2
Twi-Fante,4
Ukrainian,5
Urdu,20
Uzbek,5
Vietnamese,2
Wolof,3
Wu,1
Yoruba,3
